	title	url	party	year	type	lang	doc_id	party_abbr
584	                  En bra barndom                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/783	Vasemmistoliitto	2002	erityisohjelma	SV	VAS_783	VAS
585	                  Hyvä lapsuus - Lapsipoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/795	Vasemmistoliitto	2002	erityisohjelma	FI	VAS_795	VAS
586	                  Kvinnopolitiskt program                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/794	Vasemmistoliitto	2002	erityisohjelma	SV	VAS_794	VAS
587	                  Naispoliittinen asiakirja RITVA                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/797	Vasemmistoliitto	2002	erityisohjelma	FI	VAS_797	VAS
588	                  Vaaliohjelma eduskuntavaaleissa 2003                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/816	Vasemmistoliitto	2002	vaaliohjelma	FI	VAS_816	VAS
589	                  Turvallisuuspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/815	Vasemmistoliitto	2001	erityisohjelma	FI	VAS_815	VAS
590	                  KÖYHYYS POIS SUOMESTA - Vasemmistoliiton toimintaohjelma sosiaalisen tasa-arvon edistämiseksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/791	Vasemmistoliitto	1999	erityisohjelma	FI	VAS_791	VAS
591	                  Sivistyspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/808	Vasemmistoliitto	1999	erityisohjelma	FI	VAS_808	VAS
592	                  HYVÄ NAISSUOMI! Naispoliittinen asiakirja                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/798	Vasemmistoliitto	1998	erityisohjelma	FI	VAS_798	VAS
593	                  Left Alliance: Party Program                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/807	Vasemmistoliitto	1998	yleisohjelma	EN	VAS_807	VAS
594	                  Luonnos Vasemmistoliiton uudeksi puolueohjelmaksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/801	Vasemmistoliitto	1998	yleisohjelma	FI	VAS_801	VAS
595	                  Puolueohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/800	Vasemmistoliitto	1998	yleisohjelma	FI	VAS_800	VAS
596	                  Vänsterförbundets Partiprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/806	Vasemmistoliitto	1998	yleisohjelma	SV	VAS_806	VAS
597	                  Vasemmistoliiton poliittinen tavoiteohjelma 1998-2001                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/811	Vasemmistoliitto	1998	yleisohjelma	FI	VAS_811	VAS
598	                  Vasemmistoliiton Puolueohjelmateesit                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/814	Vasemmistoliitto	1995	yleisohjelma	FI	VAS_814	VAS
599	                  Kestävän kehityksen energiapolitiikka                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/785	Vasemmistoliitto	1990	erityisohjelma	FI	VAS_785	VAS
600	                  Vasemmistoliiton ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/799	Vasemmistoliitto	1990	yleisohjelma	FI	VAS_799	VAS
601	                  Vasemmistoliiton sata tapaa arvostaa ihmistä ja säästää luontoa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/VAS/781	Vasemmistoliitto	1990	yleisohjelma	FI	VAS_781	VAS
602	                  Kokoomuksen eduskuntavaaliohjelma 2023                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1473	Kansallinen Kokoomus	2023	vaaliohjelma	FI	KOK_1473	KOK
603	                  Kokoomuksen koulutuspoliittinen ohjelma 2023                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1501	Kansallinen Kokoomus	2023	erityisohjelma	FI	KOK_1501	KOK
604	                  Kokoomuksen kunta- ja kaupunkipoliittinen ohjelma 2023                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1505	Kansallinen Kokoomus	2023	erityisohjelma	FI	KOK_1505	KOK
605	                  Suomi oikealle raiteelle - kokoomuksen tavoitteet 2030-luvulle                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1457	Kansallinen Kokoomus	2022	tavoiteohjelma	FI	KOK_1457	KOK
606	                  Ei hyvinvointia ilman tervettä maalaisjärkeä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1427	Kansallinen Kokoomus	2021	vaaliohjelma	FI	KOK_1427	KOK
607	                  Inget välbefinnande utan sunt bondförnuft                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1428	Kansallinen Kokoomus	2021	vaaliohjelma	SV	KOK_1428	KOK
608	                  Kuntavaaliohjelma - Kokoomuslaisessa kunnassa sydän on oikealla                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1410	Kansallinen Kokoomus	2021	vaaliohjelma	FI	KOK_1410	KOK
609	                  K62020 - Kuusi kohtalonkysymystä kaksikymmentäluvulle                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1385	Kansallinen Kokoomus	2020	tavoiteohjelma	FI	KOK_1385	KOK
610	                  Kokoomuksen EU-vaaliohjelma 2019: Uskomme Eurooppaan                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1371	Kansallinen Kokoomus	2019	vaaliohjelma	FI	KOK_1371	KOK
611	                  Kokoomuksen linjaus asevelvollisuudesta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1510	Kansallinen Kokoomus	2019	muu ohjelma	FI	KOK_1510	KOK
612	                  Kokoomuslaisia keinoja ympäristöhaasteisiin: Vapaus tarvitsee vastuuta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1511	Kansallinen Kokoomus	2019	erityisohjelma	FI	KOK_1511	KOK
613	                  Luotamme Suomeen - Kokoomuksen eduskuntavaaliohjelma 2019                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1361	Kansallinen Kokoomus	2019	vaaliohjelma	FI	KOK_1361	KOK
614	                  Matkalippu tulevaisuuteen - Kokoomuksen digipoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1397	Kansallinen Kokoomus	2019	erityisohjelma	FI	KOK_1397	KOK
615	                  Uutta luova Suomi - kulttuuripoliittinen visio                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1500	Kansallinen Kokoomus	2019	erityisohjelma	FI	KOK_1500	KOK
616	                  Avoin tulevaisuuspuolue, joka luottaa ihmiseen - Kokoomuksen periaateohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/981	Kansallinen Kokoomus	2018	yleisohjelma	FI	KOK_981	KOK
617	                  Ett öppet framtidsparti som litar på människan                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1446	Kansallinen Kokoomus	2018	yleisohjelma	SV	KOK_1446	KOK
618	                  Kokoomuksen seurakuntavaaliohjelma 2018                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1342	Kansallinen Kokoomus	2018	vaaliohjelma	FI	KOK_1342	KOK
619	                  Lisää tekoja Suomen hyväksi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1038	Kansallinen Kokoomus	2018	erityisohjelma	FI	KOK_1038	KOK
620	                  Muutos ei odota - Pelastetaan maailma ja ihminen kasvupolitiikalla!                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1039	Kansallinen Kokoomus	2018	erityisohjelma	FI	KOK_1039	KOK
621	                  Suomesta maailman paras maa lapsille ja perheille                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1343	Kansallinen Kokoomus	2018	erityisohjelma	FI	KOK_1343	KOK
622	                  Vakautta vahvemmilla kumppanuuksilla 2.0                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1042	Kansallinen Kokoomus	2018	erityisohjelma	FI	KOK_1042	KOK
623	                  Framtidens kommun. Kommunalvalsprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/949	Kansallinen Kokoomus	2017	vaaliohjelma	SV	KOK_949	KOK
624	                  Kokoomuksen Ympäristöpolitiikan verkoston mietintö: Kestävä kunta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1088	Kansallinen Kokoomus	2017	erityisohjelma	FI	KOK_1088	KOK
625	                  MILLAINEN ON HYVÄ KUNTA? Kuntavaaliohjelma.                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/937	Kansallinen Kokoomus	2017	vaaliohjelma	FI	KOK_937	KOK
626	                  Perheet ja työelämä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1040	Kansallinen Kokoomus	2017	erityisohjelma	FI	KOK_1040	KOK
627	                  Terve sisäilma - Kokoomuksen eduskuntaryhmän toimenpide-ehdotukset kuntapäättäjille                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1041	Kansallinen Kokoomus	2017	erityisohjelma	FI	KOK_1041	KOK
628	                  Jos vanha tapa ei toimi, tarvitaan korjausliike                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1242	Kansallinen Kokoomus	2015	vaaliohjelma	FI	KOK_1242	KOK
629	                  Kokoomuksen Kulttuurivaltuuskunnan viisi keskeisintä kehittämiskohdetta vaalikaudelle 2015-2019                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/998	Kansallinen Kokoomus	2015	erityisohjelma	FI	KOK_998	KOK
630	                  Kokoomuksen työlista                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1024	Kansallinen Kokoomus	2015	vaaliohjelma	FI	KOK_1024	KOK
631	                  A better Europe is born from actions alone                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1010	Kansallinen Kokoomus	2014	vaaliohjelma	EN	KOK_1010	KOK
632	                  Ett bättre Europa föds endast genom handling                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1011	Kansallinen Kokoomus	2014	vaaliohjelma	SV	KOK_1011	KOK
633	                  Kirkko on meitä jokaista varten                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/997	Kansallinen Kokoomus	2014	vaaliohjelma	FI	KOK_997	KOK
634	                  Parempi Eurooppa syntyy ainoastaan tekemällä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/993	Kansallinen Kokoomus	2014	vaaliohjelma	FI	KOK_993	KOK
635	                  Kunnallispoliittinen kannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1076	Kansallinen Kokoomus	2012	vaaliohjelma	FI	KOK_1076	KOK
636	                  Suomi-uudistus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/107	Kansallinen Kokoomus	2012	muu ohjelma	FI	KOK_107	KOK
637	                  Hyvä työelämä on jokamiehenoikeus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/992	Kansallinen Kokoomus	2011	erityisohjelma	FI	KOK_992	KOK
638	                  Kokoomuksen ympäristöpoliittinen ohjelma - Vihreällä on viisi miljoonaa sävyä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/931	Kansallinen Kokoomus	2011	erityisohjelma	FI	KOK_931	KOK
639	                  Sujuvat palvelut, vahvat peruskunnat                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/985	Kansallinen Kokoomus	2011	erityisohjelma	FI	KOK_985	KOK
640	                  Vaaliohjelma Matkaopas hyvinvointivaltiosta paremminvointivaltioon                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/106	Kansallinen Kokoomus	2011	vaaliohjelma	FI	KOK_106	KOK
641	                  Valprogram Guide från välfärdsstaten till bättrefärdsstaten                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/114	Kansallinen Kokoomus	2011	vaaliohjelma	SV	KOK_114	KOK
642	                  Kulttuurin ja luovien alojen politiikka                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/977	Kansallinen Kokoomus	2010	erityisohjelma	FI	KOK_977	KOK
643	                  Maaseutuohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1021	Kansallinen Kokoomus	2010	erityisohjelma	FI	KOK_1021	KOK
644	                  Kokoomuksen eurovaaliohjelma 2009                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/12	Kansallinen Kokoomus	2009	vaaliohjelma	FI	KOK_12	KOK
645	                  Kokoomuksen kunnallisvaaliohjelma 2008 - Liittykää yhteen                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/33	Kansallinen Kokoomus	2008	vaaliohjelma	FI	KOK_33	KOK
646	                  Kokoomuksen ohjeellinen tavoitteisto kirkolliskokouksen ja hiippakuntavaltuustojen maallikkovaaleissa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1022	Kansallinen Kokoomus	2008	vaaliohjelma	FI	KOK_1022	KOK
647	                  KULTTUURIMANIFESTI                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/976	Kansallinen Kokoomus	2008	erityisohjelma	FI	KOK_976	KOK
648	                  Reissuvihko. Kokoomuslaista lapsi- ja nuorisopolitiikkaa pähkinänkuoressa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/979	Kansallinen Kokoomus	2008	erityisohjelma	FI	KOK_979	KOK
649	                  Samlingspartiets kommunalvalsprogram 2008 - Förena er                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/18	Kansallinen Kokoomus	2008	vaaliohjelma	SV	KOK_18	KOK
650	                  KYMMENEN TEESIÄ EU:N TULEVAISUUDESTA                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/984	Kansallinen Kokoomus	2007	erityisohjelma	FI	KOK_984	KOK
651	                  Marknadsekonomi med ansvar och dess betydelse för Finlands framtid                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/113	Kansallinen Kokoomus	2007	vaaliohjelma	SV	KOK_113	KOK
652	                  Vastuullinen markkinatalous ja sen vaikutukset Suomen tulevaisuuteen                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/108	Kansallinen Kokoomus	2007	vaaliohjelma	FI	KOK_108	KOK
653	                  Kansallisen Kokoomuksen periaateohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/64	Kansallinen Kokoomus	2006	yleisohjelma	FI	KOK_64	KOK
654	                  Kokoomuksen seurakuntavaaliopas: VÄLITTÄMISTÄ EI VOI ULKOISTAA                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/983	Kansallinen Kokoomus	2006	vaaliohjelma	FI	KOK_983	KOK
655	                  Program of principles                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/70	Kansallinen Kokoomus	2006	yleisohjelma	EN	KOK_70	KOK
656	                  Samlingspartiets principprogram                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/69	Kansallinen Kokoomus	2006	yleisohjelma	SV	KOK_69	KOK
657	                  Vammaispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/996	Kansallinen Kokoomus	2005	erityisohjelma	FI	KOK_996	KOK
658	                  För att det skall gå bättre för Finland - Samlingspartiets valmanifest inför EU-parlamentsvalet                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/13	Kansallinen Kokoomus	2004	vaaliohjelma	SV	KOK_13	KOK
659	"                  ""Ihminen on tärkein - Etupolitiikasta ratkaisupolitiikkaan""                  "	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/978	Kansallinen Kokoomus	2004	muu ohjelma	FI	KOK_978	KOK
660	                  Jotta Suomella menisi paremmin - Kokoomuksen eurovaalijulistus                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/11	Kansallinen Kokoomus	2004	vaaliohjelma	FI	KOK_11	KOK
661	                  Kokoomuksen kunnallisvaalitavoitteet - Tulevaisuuden hyvinvointi rakennetaan tänään                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/104	Kansallinen Kokoomus	2004	vaaliohjelma	FI	KOK_104	KOK
662	                  Kokoomuslainen kunta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/34	Kansallinen Kokoomus	2004	erityisohjelma	FI	KOK_34	KOK
663	                  Samlingspartiets målsättningar inför kommunalvalet                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/112	Kansallinen Kokoomus	2004	vaaliohjelma	SV	KOK_112	KOK
664	                  Senioripoliittinen kannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/982	Kansallinen Kokoomus	2004	erityisohjelma	FI	KOK_982	KOK
665	                  Hyvinvoinnin kymmenen kärkeä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/965	Kansallinen Kokoomus	2003	erityisohjelma	FI	KOK_965	KOK
666	                  Maaseutuohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/48	Kansallinen Kokoomus	2003	erityisohjelma	FI	KOK_48	KOK
667	                  Mot en bättre framtid - samlingspartiets valprogram i sex punkter                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/111	Kansallinen Kokoomus	2003	vaaliohjelma	SV	KOK_111	KOK
668	                  Tavoitteena parempi arki - Kokoomuksen kuuden kohdan ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/103	Kansallinen Kokoomus	2003	vaaliohjelma	FI	KOK_103	KOK
669	                  Alueellisen kehittämisen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/3	Kansallinen Kokoomus	2002	erityisohjelma	FI	KOK_3	KOK
670	                  Globalisaatiokannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/974	Kansallinen Kokoomus	2002	erityisohjelma	FI	KOK_974	KOK
671	                  Kokoomuksen lähiajan tavoiteohjelma 2003-2007                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/85	Kansallinen Kokoomus	2002	tavoiteohjelma	FI	KOK_85	KOK
672	                  Kokoomuksen seurakuntavaaliopas                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/980	Kansallinen Kokoomus	2002	vaaliohjelma	FI	KOK_980	KOK
673	                  Itämeri ei odota                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/975	Kansallinen Kokoomus	2001	muu ohjelma	FI	KOK_975	KOK
674	                  Kokoomus haluaa vahvan ja tuloksellisen Euroopan unionin                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/972	Kansallinen Kokoomus	2001	erityisohjelma	FI	KOK_972	KOK
675	                  Kriminaalipoliittinen kannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1329	Kansallinen Kokoomus	2001	erityisohjelma	FI	KOK_1329	KOK
676	                  Nuorisotyön painopiste varhaisnuoriin                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/967	Kansallinen Kokoomus	2001	muu ohjelma	FI	KOK_967	KOK
677	                  Kokoomuksen kunnallisvaalitavoitteet 2000 -asiakirja                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/102	Kansallinen Kokoomus	2000	vaaliohjelma	FI	KOK_102	KOK
678	                  Kokoomuksen liikennepoliittinen kannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/41	Kansallinen Kokoomus	1999	erityisohjelma	FI	KOK_41	KOK
679	                  Koulutuspoliittinen toimenpideohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/21	Kansallinen Kokoomus	1999	erityisohjelma	FI	KOK_21	KOK
680	                  Tekojen aika myös Euroopassa                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/970	Kansallinen Kokoomus	1999	vaaliohjelma	FI	KOK_970	KOK
681	                  Vastuullista vanhemmuutta, turvallista lapsuutta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/60	Kansallinen Kokoomus	1999	erityisohjelma	FI	KOK_60	KOK
682	                  Kokoomuksen tavoiteohjelma 1999-2003                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/84	Kansallinen Kokoomus	1998	tavoiteohjelma	FI	KOK_84	KOK
683	                  Pohjois-Suomen mahdollisuudet todelliseen käyttöön                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/969	Kansallinen Kokoomus	1998	muu ohjelma	FI	KOK_969	KOK
684	                  Kokoomuksen toimenpideohjelma: Elinikäinen oppiminen ja tiedon valtatiet jokaisen suomalaisen menestyksen perusta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1023	Kansallinen Kokoomus	1997	erityisohjelma	FI	KOK_1023	KOK
685	                  Kaupungit ovat Suomen veturi                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/15	Kansallinen Kokoomus	1996	erityisohjelma	FI	KOK_15	KOK
686	                  Kokoomuksen maaseutupoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/47	Kansallinen Kokoomus	1996	erityisohjelma	FI	KOK_47	KOK
687	                  Kokoomus korostaa läheisyysperiaatetta ja EU:n toimintakykyä                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/971	Kansallinen Kokoomus	1996	vaaliohjelma	FI	KOK_971	KOK
688	                  Kokoomus: Vaalikampanjan avaus - vaalitavoitteita                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/101	Kansallinen Kokoomus	1995	vaaliohjelma	FI	KOK_101	KOK
689	                  Talouspoliittinen linja vuosiksi 1995 - 1999                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1322	Kansallinen Kokoomus	1995	erityisohjelma	FI	KOK_1322	KOK
690	                  KOKOOMUKSEN EU-TEESIT                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/968	Kansallinen Kokoomus	1994	muu ohjelma	FI	KOK_968	KOK
691	                  Kokoomuksen Tavoiteohjelma 1995-1999                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/83	Kansallinen Kokoomus	1994	tavoiteohjelma	FI	KOK_83	KOK
692	                  Periaateohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/63	Kansallinen Kokoomus	1993	yleisohjelma	FI	KOK_63	KOK
693	                  Programme of principles                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/1033	Kansallinen Kokoomus	1993	yleisohjelma	EN	KOK_1033	KOK
694	                  Kansallisen kokoomuksen vaaliohjelma eduskuntakaudeksi 1991-1995                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/932	Kansallinen Kokoomus	1991	vaaliohjelma	FI	KOK_932	KOK
695	                  Koulutuspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/20	Kansallinen Kokoomus	1991	erityisohjelma	FI	KOK_20	KOK
696	                  Ympäristöpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/123	Kansallinen Kokoomus	1991	erityisohjelma	FI	KOK_123	KOK
697	                  Kokoomuksen liikennepoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/40	Kansallinen Kokoomus	1990	erityisohjelma	FI	KOK_40	KOK
698	                  Kansainvälipoliittinen kannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/38	Kansallinen Kokoomus	1989	erityisohjelma	FI	KOK_38	KOK
699	                  Kokoomuksen aluepoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/2	Kansallinen Kokoomus	1988	erityisohjelma	FI	KOK_2	KOK
700	                  Kokoomuksen energiapoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/10	Kansallinen Kokoomus	1988	erityisohjelma	FI	KOK_10	KOK
701	                  Kokoomuksen Lähiajan tavoiteohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/82	Kansallinen Kokoomus	1988	tavoiteohjelma	FI	KOK_82	KOK
702	                  Kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/32	Kansallinen Kokoomus	1988	erityisohjelma	FI	KOK_32	KOK
703	                  Terveyspoliittinen ohjelma 1988-                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/89	Kansallinen Kokoomus	1988	erityisohjelma	FI	KOK_89	KOK
704	                  Asuntopoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/5	Kansallinen Kokoomus	1987	erityisohjelma	FI	KOK_5	KOK
705	                  Energiapoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/9	Kansallinen Kokoomus	1987	erityisohjelma	FI	KOK_9	KOK
706	                  Kokoomuksen Linja tulevaisuuteen                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/44	Kansallinen Kokoomus	1986	yleisohjelma	FI	KOK_44	KOK
707	                  Kansallisen Kokoomuksen kulttuuripoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/23	Kansallinen Kokoomus	1985	erityisohjelma	FI	KOK_23	KOK
708	                  Kansallisen kokoomuksen viestintäpoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/119	Kansallinen Kokoomus	1985	erityisohjelma	FI	KOK_119	KOK
709	                  Teknologiapoliittinen kannanotto                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/86	Kansallinen Kokoomus	1985	erityisohjelma	FI	KOK_86	KOK
710	                  Kansallisen kokoomuksen sosiaalipoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/74	Kansallinen Kokoomus	1984	erityisohjelma	FI	KOK_74	KOK
711	                  Kansallisen kokoomuksen työ- ja ammattiyhdistyspoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/92	Kansallinen Kokoomus	1984	erityisohjelma	FI	KOK_92	KOK
712	                  Näkökohtia aluepolitiikasta                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/4	Kansallinen Kokoomus	1984	erityisohjelma	FI	KOK_4	KOK
713	                  Kansallisen Kokoomuksen kunnallispoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/31	Kansallinen Kokoomus	1983	erityisohjelma	FI	KOK_31	KOK
714	                  Kokoomuksen liikuntapoliittinen ohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/43	Kansallinen Kokoomus	1983	erityisohjelma	FI	KOK_43	KOK
715	                  Kansallisen Kokoomuksen kansainvälispoliittinen toimintaohjelma                  	https://www.fsd.tuni.fi/pohtiva/ohjelmalistat/KOK/37	Kansallinen Kokoomus	1981	erityisohjelma	FI	KOK_37	KOK
